Company Name	Sector	Price EOD(LC)	Target Price(LC)	Latest Rating	Mkt cap	P/E (x) FY-2	P/E (x) FY-1	P/E (x) FY0	P/E (x) FY1	P/E (x) FY2	P/B FY-2	P/B FY-1	P/B FY0	P/B FY1	P/B FY2	ROAE (%) FY-2	ROAE (%) FY-1	ROAE (%) FY0	ROAE (%) FY1	ROAE (%) FY2	Dividend yld (%) FY-2	Dividend yld (%) FY-1	Dividend yld (%) FY0	Dividend yld (%) FY1	Dividend yld (%) FY2	Revenue growth FY-2	Revenue growth FY-1	Revenue growth FY0	Revenue growth FY1	Revenue growth FY2	EBIT growth FY-2	EBIT growth FY-1	EBIT growth FY0	EBIT growth FY1	EBIT growth FY2	Core net profit growth FY-2	Core net profit growth FY-1	Core net profit growth FY0	Core net profit growth FY1	Core net profit growth FY2
Alibaba Group	Internet	156.53	190	Hold	408543.3	16.83966881	37.55288573	44.39814091	41.57115358	27.37860064	5.780738804	6.574571179	7.993400117	5.955110512	4.651018223	39.23078193	16.5192095	19.03002395	16.06703288	19.15973257	0	0	0	0	0	32.72662852	56.4843835	58.12299002	59.68724683	33.18781582	25.79208991	65.12610817	45.2668817	18.58104262	51.22916355	22.32640576	35.24105536	44.64585025	25.24542483	35.17801923
China Mobile	Telecommunications	76.35	77	Hold	199311.9208	14.92365837	14.2497672	12.92669789	14.7699757	15.33365497	1.621835182	1.540774914	1.371432635	1.341780176	1.286191722	na	na	na	na	na	3.007634902	3.236806903	8.343710047	3.385994936	3.261522494	2.582619734	5.99789028	4.53021579	-0.251113742	1.603968727	-12.27241732	14.73543071	1.725831583	-24.72502023	-7.470826272	-0.621692395	0.186108219	5.092835269	-18.94079125	-3.676101741
Sun Hung Kai Properties	Real Estate	117	122	Hold	43190.07602	8.632232706	7.691263015	7.350293585	10.48352527	9.915335745	0.574729523	0.666722601	0.636037234	0.607829988	0.587058857	7.103365868	8.642268973	9.630891045	5.894965646	6.023637517	4.137560451	3.574542284	3.927364865	4.197061539	4.437570086	36.53774164	-14.23166345	9.509378956	11.4035997	5.537168919	26.68364211	2.321874134	20.60638899	3.427537291	8.109271842	21.91677175	7.426561854	17.07391648	6.323340853	5.730407046
China Telecom Corporation	Telecommunications	3.77	4.5	Buy	38900.367	14.77331096	14.55909895	14.30145486	13.09643247	11.06899063	0.812520151	0.823475376	0.769630817	0.78832228	0.75285456	6.763951451	5.82013402	5.810892578	6.135941335	6.958009048	2.604695502	2.930272684	2.997628165	3.058140212	2.914239141	2.098682466	6.440782362	3.884731686	6.838085024	4.65538766	-7.250356442	2.942288783	0	7.352175268	16.06990475	13.4211581	-10.15258801	3.402153402	9.440794965	18.31670814
Sands China	Macau Gaming	35.75	40.2	Buy	36829.81545	21.86072912	22.16111094	25.56082155	25.40147795	21.05106849	6.173113106	4.734575731	7.006621014	8.39713445	9.073888879	39.56298937	23.79275693	22.57135494	30.8531604	41.43452539	5.224106029	7.502028437	5.912639614	5.638544056	5.638544056	6.706111985	-28.24920596	-2.449796029	9.719582309	8.186473648	14.01328133	-38.34599045	-3.248779205	8.0853921	17.97056865	15.261118	-41.31544145	-10.52825745	6.253947689	20.66623736
China Unicom	Telecommunications	9.35	11.6	Buy	36475.00535	20.99871211	289.5381089	123.4339584	33.47315919	20.27839531	0.820050262	0.851305721	0.710075665	0.807082808	0.783457205	4.604616387	0.27457082	0.695450812	2.434242778	3.920895304	2.147047675	0	0.591128383	1.19498974	1.972545113	-2.680895458	-1.029420788	0.230491216	7.183856322	5.729400001	-43.05665767	-74.98141955	46.04530264	118.3014536	55.18585652	-12.38490253	-94.0352206	193.6507937	304.3364255	65.06784528
"JD.com, Inc"	Internet	25.74	33	Hold	29488.30894	nm	nm	nm	nm	nm	9.381497321	6.054602189	7.573821633	4.804251684	4.578053957	-22.75566126	-5.730106332	0.223183765	-0.337777956	0.305228153	0	0	0	0	0	57.50726106	42.66828636	40.28110819	29.51651961	23.08449517	nm	nm	nm	nm	nm	nm	nm	nm	nm	nm
CK Asset Holdings	Real Estate	60.25	62.8	Hold	28402.40768	13.07410168	9.988846863	7.523691215	6.10945156	8.914420381	0.739379528	0.672952805	0.874319201	0.751446756	0.709126911	9.52441909	7.252646284	10.63531707	12.45986235	8.185319388	2.777777778	3.217665615	2.489019034	3.209780913	3.477512033	138.2893752	20.98463687	-16.96103896	14.59647396	12.36552486	117.7295025	21.47684951	-0.488266465	4.16776651	5.859700924	29.18430006	15.33915725	11.75651593	83.41620284	-31.46551388
Galaxy Entertainment Group	Macau Gaming	51.15	54.4	Hold	28172.24747	24.96024105	33.1524549	18.77030979	23.10092553	20.00096192	4.829126904	2.534583327	3.115362424	4.118231819	3.59331235	29.20413128	10.47192611	14.37078953	19.03061593	19.18860789	1.672394044	1.18609407	1.301775148	1.257628544	1.452549365	8.662354013	-28.93511122	3.599279737	16.61391718	4.215951278	6.70591992	-50.17424203	19.94027653	50.05963953	13.32741874	8.963540193	-52.02871374	21.8227748	48.35814957	15.49906646
Public Bank	Banks	24.9	22.7	Hold	23332.19551	14.11092978	14.26164192	14.31033958	16.91963445	16.39989936	2.289860764	2.225702485	2.147530598	2.383883568	2.205481232	na	na	na	na	na	3.023758099	2.941176471	2.935514918	2.65060241	2.730923695	na	na	na	na	na	na	na	na	na	na	9.655640951	3.860527386	6.2876194	3.889975934	3.169082815
